property_type,floor,residence_status,registration_status,area_sqft,bedrooms,bathrooms,swimming_pool,parking_space,furnished,furniture_available,locality_score,access_main_road,shopping_complex,local_market,previous_price,price,future_trend
Flat,4,Non-Residence,Registrable,381509,3,9,1,3,1,1,3,0,0,1,19979538,19907056,Down
Villa,0,Residence,Registrable,402421,5,4,0,8,0,1,8,0,0,0,21034583,20893384,Down
Building,14,Non-Residence,Registrable,261410,14,9,1,8,1,1,9,0,0,1,14732817,14649844,Down
Apartment,23,Residence,Registrable,23736,11,7,0,3,1,0,3,0,0,1,2426997,2361812,Down
Empty Land,0,Residence,Documented,88455,2,6,0,8,0,0,1,1,0,0,5047320,4977621,Down
House,2,Non-Residence,Documented,741374,12,5,0,5,1,1,1,0,0,0,38151727,38045842,Down
Villa,0,Non-Residence,Registrable,627933,3,9,1,0,1,0,7,0,1,0,32222172,32130590,Down
Empty Land,0,Residence,Registrable,671218,4,2,1,9,0,1,5,0,0,1,34387834,34319773,Down
House,3,Non-Residence,Registrable,231285,7,2,0,5,0,1,1,0,0,1,12360221,12233206,Down
Farm House,0,Residence,Registrable,95414,13,9,1,8,1,1,6,0,1,1,6189887,6095290,Down
Apartment,10,Non-Residence,Documented,208490,3,3,1,1,0,1,6,0,0,1,11151909,11091017,Down
Building,10,Residence,Documented,378887,9,8,1,5,1,1,4,1,0,1,20227873,20153942,Down
Apartment,4,Residence,Registrable,539384,8,9,1,1,0,1,7,0,1,1,28070999,27996345,Down
Flat,12,Non-Residence,Documented,657139,4,8,1,3,1,1,7,1,1,1,33974725,33836247,Down
Flat,6,Non-Residence,Documented,194769,13,4,1,7,0,1,9,0,1,0,11040136,10931316,Down
Apartment,13,Residence,Registrable,392917,1,1,1,6,0,1,1,1,0,1,20323727,20219841,Down
Farm House,0,Residence,Registrable,138655,1,4,0,8,0,0,5,1,1,1,7537127,7414657,Down
Building,1,Residence,Registrable,121174,1,9,0,6,0,1,10,1,0,0,6964483,6819214,Down
Villa,0,Residence,Documented,257213,1,2,1,0,0,0,3,0,1,1,13341736,13206588,Down
Building,8,Non-Residence,Documented,442001,8,3,0,1,0,0,7,0,0,1,23003920,22856529,Down
Farm House,0,Non-Residence,Documented,543851,3,8,0,5,0,1,4,0,1,0,27933202,27808360,Down
House,3,Non-Residence,Documented,68142,6,6,0,6,0,0,4,0,1,1,4283024,4167700,Down
Apartment,16,Residence,Registrable,90593,3,8,1,2,0,1,1,0,1,0,5485342,5353262,Down
Apartment,5,Non-Residence,Registrable,508106,11,7,1,8,1,1,1,0,0,1,26678032,26563005,Down
Apartment,29,Residence,Registrable,217715,5,5,1,6,0,1,10,1,0,1,12139843,12088418,Down
Apartment,26,Residence,Documented,707780,13,9,1,5,1,1,2,1,1,0,36888348,36836615,Down
Villa,0,Non-Residence,Registrable,684389,14,4,1,5,0,0,2,1,1,0,35370300,35274925,Down
Flat,26,Non-Residence,Registrable,36454,13,6,0,0,1,0,1,0,1,1,3132601,3018190,Down
Farm House,0,Residence,Documented,28356,7,2,1,4,1,1,8,0,1,1,2339676,2279073,Down
House,3,Residence,Registrable,527361,2,2,0,9,0,0,6,1,0,0,27016558,26954406,Down
Farm House,0,Non-Residence,Documented,560155,6,2,1,2,0,0,6,0,1,1,28727254,28661453,Down
Empty Land,0,Residence,Documented,496053,13,7,0,6,1,0,10,0,1,0,26106217,25971775,Down
Empty Land,0,Non-Residence,Registrable,323418,6,2,1,9,1,1,10,0,0,0,17186899,17080581,Down
Empty Land,0,Non-Residence,Registrable,24252,11,2,1,2,0,0,9,1,0,0,2270430,2125457,Down
Flat,26,Residence,Documented,149257,3,9,1,4,0,0,5,1,1,1,8552402,8485417,Down
Building,3,Residence,Registrable,314337,6,7,1,6,0,0,4,0,1,1,16698739,16556268,Down
Villa,0,Residence,Registrable,117239,10,3,1,2,1,1,6,1,0,1,6850182,6779114,Down
Apartment,24,Residence,Documented,238509,10,3,1,9,0,0,8,1,0,0,13180967,13117436,Down
Flat,21,Residence,Registrable,208480,14,7,0,1,0,0,1,0,1,1,11696938,11612650,Down
House,2,Non-Residence,Documented,257109,5,5,1,5,0,1,7,0,0,0,13790060,13649043,Down
House,2,Non-Residence,Documented,389322,12,6,0,7,0,0,8,1,0,0,20641845,20500083,Down
Empty Land,0,Non-Residence,Documented,337176,2,8,1,3,0,1,9,1,1,1,17793171,17676518,Down
Villa,0,Non-Residence,Documented,344638,9,9,0,8,1,1,8,0,1,1,18477086,18328889,Down
Empty Land,0,Residence,Registrable,318777,8,1,0,7,1,1,7,0,0,0,16852466,16762398,Down
House,3,Non-Residence,Registrable,518771,3,3,0,6,0,1,3,0,1,1,26557896,26495437,Down
House,2,Residence,Registrable,323912,8,7,0,6,0,1,2,1,1,0,17155683,17019042,Down
Apartment,10,Residence,Documented,485917,14,6,0,2,1,1,3,1,1,1,25532093,25397093,Down
Building,9,Residence,Registrable,431959,9,7,0,5,0,0,4,0,1,0,22560636,22478082,Down
Apartment,18,Residence,Documented,188956,14,8,1,4,1,1,4,0,1,1,10958669,10838356,Down
Building,6,Residence,Documented,556441,3,6,0,0,0,0,6,0,0,0,28513415,28386447,Down
Apartment,20,Non-Residence,Registrable,158229,3,3,1,2,1,0,7,0,0,1,8829011,8764740,Down
Building,6,Residence,Registrable,229004,2,2,1,0,1,1,4,1,1,0,12073441,12019640,Down
Empty Land,0,Residence,Documented,646617,8,7,0,3,0,0,10,0,1,0,33287298,33164705,Down
Farm House,0,Non-Residence,Documented,653165,10,1,0,9,1,0,6,0,1,0,33554600,33478089,Down
Villa,0,Non-Residence,Documented,526410,1,3,1,2,0,0,9,1,0,0,26967610,26844564,Down
Building,10,Non-Residence,Documented,573544,8,4,0,3,1,1,6,0,0,0,29706757,29583122,Down
Flat,28,Residence,Registrable,41309,7,1,0,8,0,0,3,1,0,0,3094399,2963670,Down
Building,9,Residence,Registrable,541513,14,5,0,2,0,0,1,1,0,1,28190247,28085014,Down
Empty Land,0,Residence,Registrable,717256,7,3,0,5,0,1,10,1,1,0,36693889,36623878,Down
Villa,0,Residence,Documented,51726,3,2,0,5,1,0,10,0,1,0,3328005,3215042,Down
Building,9,Non-Residence,Documented,500012,1,3,0,6,0,0,5,1,0,1,25655930,25557030,Down
Apartment,3,Non-Residence,Registrable,605970,4,8,0,8,0,0,10,0,0,1,31175529,31104765,Down
Villa,0,Non-Residence,Registrable,476281,9,6,1,6,0,1,10,1,1,0,24948551,24846857,Down
Flat,12,Non-Residence,Registrable,29902,5,7,0,0,1,0,3,1,1,1,2421765,2301779,Down
House,3,Non-Residence,Documented,4763,1,6,1,7,0,0,8,1,1,1,1112749,982664,Down
Apartment,14,Non-Residence,Documented,178400,5,6,1,4,1,1,10,0,1,0,10023276,9966316,Down
Villa,0,Residence,Documented,572712,13,3,1,8,1,1,1,0,1,0,29802684,29736101,Down
Farm House,0,Residence,Registrable,336826,8,8,1,9,1,1,2,1,0,1,18053649,17931117,Down
Building,19,Non-Residence,Registrable,224637,8,7,0,4,0,0,3,0,1,1,12381901,12247798,Down
Apartment,10,Non-Residence,Registrable,452768,5,7,1,4,0,1,3,1,0,1,23574830,23510629,Down
Empty Land,0,Non-Residence,Registrable,298381,12,6,1,1,1,1,8,1,0,1,16127377,16006798,Down
Farm House,0,Non-Residence,Registrable,363976,9,5,1,2,0,1,5,1,1,1,19190092,19080073,Down
Farm House,0,Residence,Registrable,352207,1,8,1,9,0,0,8,1,0,1,18490554,18420134,Down
Empty Land,0,Residence,Documented,685233,4,5,1,8,1,1,6,0,0,0,35160342,35069740,Down
Empty Land,0,Residence,Registrable,511085,3,9,0,6,1,1,2,1,1,1,26455472,26352827,Down
Empty Land,0,Non-Residence,Registrable,692257,2,9,0,0,0,1,4,0,0,0,35219348,35116224,Down
Farm House,0,Non-Residence,Documented,391219,8,1,1,2,1,1,9,1,1,0,20481097,20382066,Down
Villa,0,Non-Residence,Documented,479861,7,6,0,1,0,1,4,1,1,1,24791590,24728961,Down
Empty Land,0,Residence,Documented,101871,9,7,0,0,1,0,5,1,0,0,6015414,5907683,Down
House,3,Residence,Documented,563497,2,3,1,8,0,0,5,1,1,1,28941454,28862779,Down
Farm House,0,Residence,Documented,192692,14,7,1,7,0,1,10,1,1,0,11023600,10971938,Down
Farm House,0,Non-Residence,Documented,150822,14,7,1,4,1,1,8,0,0,1,8943648,8813378,Down
Farm House,0,Residence,Registrable,21672,4,2,0,1,0,1,6,0,1,0,1597651,1540062,Down
Flat,5,Residence,Registrable,536343,14,7,1,0,0,0,10,1,0,1,28121138,28021774,Down
Villa,0,Non-Residence,Registrable,578064,6,1,0,6,1,0,7,0,0,0,29602996,29548341,Down
Villa,0,Residence,Registrable,582280,11,5,0,1,0,0,6,0,1,1,30093732,29969447,Down
Empty Land,0,Non-Residence,Documented,708862,3,9,0,0,0,0,5,1,0,0,36114497,36053700,Down
Farm House,0,Non-Residence,Documented,513819,8,7,1,1,0,1,5,1,1,0,26674071,26526605,Down
Apartment,22,Non-Residence,Registrable,222820,3,7,0,6,1,1,3,1,0,0,12094509,12037864,Down
Farm House,0,Residence,Documented,418478,14,2,1,6,1,1,7,1,1,1,22167741,22040310,Down
Empty Land,0,Residence,Documented,11546,12,8,1,9,1,1,10,0,1,1,2027450,1942688,Down
Villa,0,Non-Residence,Registrable,228571,13,3,1,5,1,0,5,0,0,1,12612101,12514467,Down
Empty Land,0,Residence,Registrable,378665,13,8,1,4,1,1,7,0,0,1,20228360,20156928,Down
Empty Land,0,Non-Residence,Registrable,709162,2,3,1,2,0,0,2,0,1,1,35993960,35896070,Down
Empty Land,0,Residence,Registrable,416866,13,7,0,2,0,0,9,1,1,0,22010645,21878251,Down
Empty Land,0,Non-Residence,Registrable,267497,13,2,0,8,0,1,8,1,0,1,14540818,14431707,Down
Empty Land,0,Non-Residence,Registrable,645688,3,4,0,3,1,0,5,1,1,1,32936676,32812907,Down
Building,9,Residence,Registrable,483115,11,6,0,8,0,0,2,1,1,0,25281047,25187436,Down
Building,1,Non-Residence,Registrable,415508,6,9,0,3,1,1,6,0,0,1,21756175,21608635,Down
Farm House,0,Non-Residence,Documented,583917,2,5,1,1,0,0,8,0,0,1,29855204,29778533,Down
Farm House,0,Non-Residence,Registrable,206050,8,9,1,3,1,0,7,1,1,1,11457659,11370899,Down
Apartment,15,Non-Residence,Documented,245383,1,5,0,5,0,1,8,0,0,1,13135278,12991301,Down
Apartment,24,Non-Residence,Registrable,638918,7,8,0,5,0,0,4,0,0,1,33085251,33007018,Down
Building,4,Residence,Documented,461014,2,1,0,4,1,0,3,1,1,1,23641165,23553574,Down
Villa,0,Residence,Registrable,671710,10,7,1,0,0,1,7,0,0,0,34607701,34489897,Down
Flat,26,Non-Residence,Registrable,122289,12,4,1,2,0,0,2,1,0,1,7390861,7249105,Down
Villa,0,Residence,Registrable,679918,6,5,1,4,1,1,5,0,1,1,34961437,34861346,Down
Apartment,7,Non-Residence,Registrable,701280,12,6,0,5,0,0,7,0,0,1,36162077,36107639,Down
Farm House,0,Non-Residence,Registrable,563678,2,5,0,0,0,0,1,1,1,0,28652635,28517730,Down
Building,6,Non-Residence,Documented,66517,2,1,0,8,1,1,4,1,0,0,3959760,3863864,Down
Villa,0,Non-Residence,Registrable,178876,10,9,0,2,1,1,2,1,0,0,10027670,9885531,Down
Flat,15,Non-Residence,Registrable,688781,13,2,1,9,1,0,6,0,1,0,35753430,35692111,Down
Empty Land,0,Residence,Registrable,499637,8,9,0,2,1,1,1,1,0,1,25980860,25850602,Down
House,2,Residence,Documented,657384,12,2,0,1,1,0,7,0,0,0,33732087,33676059,Down
Building,7,Residence,Documented,625212,2,9,0,7,0,1,3,1,0,1,32132129,32056189,Down
Building,3,Residence,Documented,693764,7,6,1,2,1,0,1,0,0,1,35671942,35524958,Down
Flat,21,Residence,Documented,558796,3,9,1,5,1,0,8,1,0,1,29062130,29003708,Down
Empty Land,0,Residence,Documented,393776,8,6,0,1,0,0,7,1,0,0,20504144,20402493,Down
Empty Land,0,Non-Residence,Documented,730526,7,6,1,6,0,0,2,0,1,1,37510366,37400718,Down
House,1,Residence,Registrable,608347,14,2,1,3,0,0,7,0,0,0,31469394,31375953,Down
Empty Land,0,Non-Residence,Registrable,55837,8,8,1,8,0,1,3,1,0,1,3925957,3855269,Down
Flat,29,Non-Residence,Registrable,275994,14,3,1,9,0,1,9,0,1,0,15419856,15323576,Down
Farm House,0,Residence,Documented,24854,7,7,1,8,1,0,8,1,1,0,2340874,2276402,Down
Empty Land,0,Residence,Registrable,45686,11,5,0,6,0,0,5,0,1,1,3293081,3162645,Down
Farm House,0,Non-Residence,Registrable,552933,6,3,0,7,1,1,7,0,0,1,28475008,28389337,Down
Apartment,13,Non-Residence,Documented,427736,13,1,0,2,0,1,3,1,1,1,22407190,22296381,Down
Apartment,2,Non-Residence,Registrable,610911,7,8,1,4,1,1,1,1,1,0,31591242,31467943,Down
Farm House,0,Non-Residence,Registrable,500383,5,3,1,1,0,1,1,0,0,0,25678843,25617883,Down
Flat,3,Non-Residence,Registrable,731046,7,2,1,9,1,1,2,0,1,0,37507212,37380592,Down
Building,13,Residence,Documented,741329,1,1,1,6,1,0,8,0,0,1,37776972,37724898,Down
Building,9,Residence,Documented,545369,1,4,0,7,1,0,1,0,0,0,27916439,27793078,Down
Building,19,Non-Residence,Registrable,613717,9,8,0,8,1,1,5,1,0,1,31965361,31880528,Down
Villa,0,Non-Residence,Registrable,285695,14,3,0,6,1,1,9,1,0,0,15509306,15368565,Down
Building,18,Non-Residence,Documented,576262,5,1,0,9,1,1,9,0,0,0,29780553,29694577,Down
Flat,5,Non-Residence,Documented,616536,13,4,0,9,1,1,2,1,1,0,32050836,31930626,Down
House,2,Non-Residence,Documented,126495,5,9,0,7,1,1,7,0,0,1,7387158,7271500,Down
Apartment,14,Non-Residence,Documented,246190,3,1,1,8,1,1,1,0,1,1,13219134,13119026,Down
Empty Land,0,Non-Residence,Registrable,332270,5,2,1,5,1,1,3,0,0,1,17354990,17283510,Down
Building,17,Non-Residence,Documented,429488,3,9,0,9,0,1,6,1,1,0,22569684,22469546,Down
Villa,0,Residence,Registrable,181053,9,2,1,1,1,1,9,0,0,0,9975226,9915783,Down
Apartment,3,Non-Residence,Documented,561196,9,3,0,1,1,0,10,1,0,0,28980412,28860443,Down
Apartment,7,Non-Residence,Registrable,260068,6,7,0,3,0,1,2,1,0,0,13851490,13800500,Down
Farm House,0,Residence,Documented,319778,1,3,1,8,1,1,7,0,1,1,16806679,16685587,Down
Villa,0,Non-Residence,Documented,152063,7,9,0,6,1,0,4,1,1,0,8643341,8501143,Down
Flat,9,Non-Residence,Documented,657201,7,6,0,1,0,0,2,0,1,0,33656464,33545128,Down
House,1,Non-Residence,Registrable,700483,14,3,0,7,0,0,3,0,0,1,36078955,35999858,Down
Building,4,Non-Residence,Registrable,615115,10,9,1,6,1,1,6,1,0,1,32068265,31948020,Down
Building,3,Residence,Registrable,394054,10,1,1,8,0,1,10,0,1,1,20911237,20771344,Down
Villa,0,Non-Residence,Registrable,203003,4,3,1,7,1,1,9,1,0,0,11065916,10996730,Down
Flat,26,Non-Residence,Documented,143826,8,1,1,2,1,1,8,1,1,1,8333919,8232563,Down
Villa,0,Non-Residence,Documented,707720,6,2,0,0,1,0,10,1,0,0,36115927,35966752,Down
Villa,0,Residence,Documented,11844,4,8,1,1,0,1,9,0,1,1,1498565,1363821,Down
House,1,Non-Residence,Registrable,395466,4,7,1,1,1,1,4,1,1,0,20663684,20525669,Down
Flat,9,Non-Residence,Documented,592745,2,2,1,3,1,0,4,0,0,0,30402856,30259842,Down
House,2,Residence,Documented,105923,14,2,0,5,0,1,9,0,1,0,6384339,6321417,Down
Flat,23,Residence,Documented,320697,2,9,1,3,1,1,8,1,0,0,17264338,17121723,Down
Building,7,Residence,Registrable,464571,12,6,1,8,1,1,2,1,0,0,24483561,24402795,Down
Empty Land,0,Residence,Registrable,671756,14,5,0,3,1,1,8,0,0,0,34710263,34640476,Down
Farm House,0,Non-Residence,Documented,187333,4,6,0,5,1,0,1,1,1,1,10094983,10022446,Down
Empty Land,0,Residence,Registrable,718412,5,9,0,5,1,0,9,1,1,0,36924023,36798104,Down
Apartment,29,Residence,Registrable,77954,8,7,0,9,1,0,9,1,1,0,5257086,5154052,Down
Flat,8,Residence,Documented,258094,6,9,1,9,0,0,8,0,0,0,14097374,13949943,Down
Empty Land,0,Non-Residence,Documented,512397,14,4,0,0,1,1,5,1,0,0,26655725,26560183,Down
Villa,0,Residence,Registrable,353244,4,2,1,7,1,1,5,0,1,1,18464891,18411684,Down
Building,10,Non-Residence,Registrable,516642,13,8,1,2,0,1,3,0,0,0,27120260,27042026,Down
Farm House,0,Non-Residence,Documented,38141,11,4,1,5,1,0,5,1,0,0,3026348,2945780,Down
Farm House,0,Residence,Documented,554499,7,9,1,2,1,0,4,1,1,1,28778557,28659924,Down
Apartment,1,Non-Residence,Documented,369540,8,4,1,1,0,0,1,0,1,0,19352941,19218383,Down
Farm House,0,Residence,Documented,668042,2,8,0,4,0,1,9,0,0,1,34221543,34116840,Down
Building,1,Residence,Documented,612621,12,9,1,0,0,1,10,1,0,0,31899375,31796752,Down
Empty Land,0,Non-Residence,Documented,318920,7,9,1,8,0,0,4,0,1,0,17000764,16897310,Down
Farm House,0,Non-Residence,Documented,282185,14,4,1,6,0,0,3,1,1,1,15306617,15156689,Down
Farm House,0,Non-Residence,Registrable,476026,2,1,0,2,0,1,6,0,0,1,24269058,24137554,Down
Flat,19,Non-Residence,Registrable,45313,2,3,1,3,0,1,1,1,0,1,3036621,2909936,Down
Villa,0,Residence,Documented,693058,8,9,1,5,1,1,5,0,0,0,35832076,35721445,Down
Flat,2,Non-Residence,Registrable,664680,2,4,0,2,1,0,7,1,1,1,33928796,33803543,Down
Empty Land,0,Non-Residence,Registrable,286714,11,5,1,6,1,0,2,1,0,1,15382334,15315692,Down
Building,12,Non-Residence,Documented,343203,9,7,1,5,0,0,10,0,0,0,18441378,18312202,Down
Building,13,Non-Residence,Documented,205115,12,5,0,8,1,0,9,1,0,0,11562846,11430473,Down
Flat,14,Residence,Documented,477157,1,4,1,4,0,1,6,0,0,0,24660480,24601490,Down
House,1,Residence,Registrable,566574,9,2,1,3,1,1,2,0,0,1,29262505,29158883,Down
Flat,3,Non-Residence,Documented,400453,1,2,1,2,1,1,8,0,0,0,20658903,20557240,Down
House,3,Non-Residence,Documented,288154,10,4,1,9,1,0,8,0,1,1,15618044,15563874,Down
Apartment,24,Residence,Registrable,282070,13,9,1,0,1,1,1,1,1,1,15533319,15458502,Down
Flat,17,Residence,Documented,37765,10,8,0,2,0,1,1,0,1,1,2960165,2905029,Down
House,1,Residence,Registrable,249821,2,3,0,2,0,1,1,0,0,1,12963846,12912134,Down
House,2,Residence,Registrable,66650,6,9,0,6,1,1,4,0,1,0,4338846,4194516,Down
Farm House,0,Non-Residence,Documented,612100,6,5,1,6,0,1,4,1,0,0,31536870,31413183,Down
Apartment,6,Non-Residence,Documented,90113,1,3,1,0,0,0,8,0,0,1,5087873,4985394,Down
Farm House,0,Residence,Documented,337554,7,5,1,2,1,1,1,1,0,1,17768390,17707917,Down
House,1,Residence,Registrable,122326,8,4,0,7,0,1,10,1,0,0,7176445,7045606,Down
House,2,Non-Residence,Documented,560223,2,8,1,8,0,0,3,0,0,0,28887538,28752507,Down
Villa,0,Non-Residence,Registrable,450848,8,5,1,6,0,0,1,1,1,1,23434264,23362639,Down
House,1,Residence,Documented,210517,9,8,1,6,0,1,9,0,1,1,11756041,11692280,Down
Farm House,0,Non-Residence,Documented,134555,6,9,0,7,1,1,10,1,1,1,7913205,7788751,Down
House,1,Residence,Documented,490957,5,4,0,5,1,1,9,1,0,1,25332593,25280772,Down
Building,9,Non-Residence,Documented,676522,12,7,1,2,0,1,7,0,1,1,35054830,34956184,Down
Villa,0,Non-Residence,Registrable,734047,9,2,1,0,1,0,8,1,0,0,37590697,37504497,Down
House,3,Residence,Documented,696858,13,6,1,6,1,1,1,0,1,1,36157420,36023531,Down
Farm House,0,Non-Residence,Documented,450562,12,8,0,0,1,0,5,1,1,0,23556723,23458473,Down
Farm House,0,Residence,Documented,94571,11,7,0,0,0,1,2,0,1,1,5653010,5518706,Down
Empty Land,0,Non-Residence,Documented,307191,9,7,0,8,0,1,1,0,1,0,16319548,16233101,Down
Farm House,0,Residence,Registrable,146889,1,8,1,9,1,1,3,0,1,1,8222097,8142913,Down
Villa,0,Residence,Registrable,640396,11,7,0,6,1,0,7,0,1,0,33153859,33054105,Down
Farm House,0,Residence,Documented,270208,3,5,1,3,0,1,1,1,0,0,14121864,14055053,Down
Building,4,Non-Residence,Registrable,683205,9,7,1,5,1,1,2,0,0,1,35310179,35233584,Down
Flat,9,Residence,Documented,638612,11,3,0,0,0,0,2,0,0,1,32810236,32668668,Down
Building,9,Residence,Registrable,254944,2,5,1,6,1,1,4,0,0,0,13579744,13511987,Down
Apartment,29,Non-Residence,Documented,604061,12,7,0,5,0,0,3,0,0,0,31465677,31403723,Down
Building,13,Non-Residence,Registrable,212337,4,9,1,3,0,1,3,1,1,0,11643334,11498005,Down
Villa,0,Residence,Registrable,110517,4,2,1,6,0,0,10,0,0,1,6292769,6181420,Down
Villa,0,Residence,Registrable,124118,2,4,0,2,0,0,5,1,0,0,6750566,6662636,Down
Empty Land,0,Non-Residence,Registrable,459797,3,7,1,0,1,0,3,0,0,1,23779684,23637342,Down
Farm House,0,Non-Residence,Registrable,125841,13,1,1,3,0,1,7,0,0,1,7352579,7213819,Down
Empty Land,0,Non-Residence,Documented,731392,3,2,1,2,1,0,5,0,0,1,37263293,37118521,Down
Villa,0,Residence,Registrable,552576,1,9,1,0,0,0,4,0,0,1,28236686,28182875,Down
Farm House,0,Non-Residence,Documented,442259,6,7,1,1,0,1,3,0,0,1,22992907,22912539,Down
Villa,0,Residence,Documented,564762,8,7,1,4,1,0,4,0,0,1,29216120,29133401,Down
Villa,0,Residence,Documented,541159,12,6,1,7,1,1,2,1,0,0,28257630,28198993,Down
Flat,23,Residence,Documented,423345,3,3,1,0,1,1,1,1,1,0,21989384,21927251,Down
Building,17,Non-Residence,Documented,707044,5,3,0,3,0,0,3,0,0,1,36127545,36030559,Down
Empty Land,0,Non-Residence,Documented,324560,1,2,0,3,0,0,2,0,0,0,16601990,16523119,Down
Empty Land,0,Non-Residence,Documented,598760,10,6,1,4,1,1,1,0,1,0,31065298,30922191,Down
House,1,Residence,Documented,193759,7,4,1,6,0,0,1,1,1,1,10525769,10434297,Down
Apartment,3,Residence,Documented,275628,10,5,0,7,1,0,2,0,0,0,14761786,14653453,Down
Flat,26,Non-Residence,Documented,610219,13,3,1,5,0,0,9,1,0,1,31955514,31850006,Down
Villa,0,Non-Residence,Documented,404332,1,6,0,0,0,0,5,1,0,1,20706029,20654628,Down
Villa,0,Residence,Registrable,630161,12,3,0,6,0,1,9,1,1,1,32566742,32506738,Down
Flat,26,Residence,Documented,181644,11,8,0,2,1,1,8,1,0,1,10544499,10395650,Down
Farm House,0,Residence,Documented,250695,9,9,1,5,0,0,6,1,1,0,13622355,13537054,Down
Empty Land,0,Residence,Documented,144248,8,4,1,7,1,1,1,0,1,0,8222347,8078803,Down
Villa,0,Non-Residence,Registrable,404532,7,9,1,6,1,0,10,1,1,1,21413919,21358018,Down
Apartment,29,Residence,Registrable,33233,10,7,0,9,0,0,5,1,1,0,3043695,2924074,Down
House,2,Residence,Documented,741540,7,3,0,5,1,0,1,0,1,1,37884675,37766924,Down
Empty Land,0,Non-Residence,Registrable,526838,5,7,0,8,1,0,7,0,0,1,27304756,27205947,Down
Building,15,Non-Residence,Registrable,110496,5,1,1,8,0,1,10,1,0,0,6622334,6491035,Down
Apartment,29,Non-Residence,Documented,558721,11,3,0,0,1,0,8,0,1,0,29115399,29007228,Down
Flat,14,Non-Residence,Documented,549739,13,6,0,0,1,1,8,0,1,1,28737491,28619771,Down
Empty Land,0,Residence,Registrable,557201,5,4,1,0,0,0,7,0,1,0,28641745,28527001,Down
Building,13,Residence,Registrable,166373,1,7,0,7,0,1,2,1,1,1,9044718,8984364,Down
House,1,Residence,Documented,711479,8,3,0,9,0,1,5,1,0,1,36578296,36428717,Down
Farm House,0,Residence,Documented,434316,12,1,1,6,1,1,4,0,1,0,22836988,22728128,Down
Flat,23,Residence,Documented,713635,11,9,1,2,1,1,5,0,1,1,37124136,37064632,Down
Farm House,0,Non-Residence,Documented,222388,1,6,0,1,0,0,10,1,0,0,11697844,11593524,Down
Apartment,15,Non-Residence,Documented,745953,4,8,1,3,1,1,9,1,0,1,38440757,38387234,Down
Villa,0,Residence,Documented,166972,9,3,0,2,0,0,4,0,0,1,9174794,9050551,Down
Farm House,0,Non-Residence,Registrable,398210,14,8,1,6,0,1,8,1,0,1,21309714,21173011,Down
Villa,0,Residence,Documented,212260,9,2,0,9,0,1,8,1,1,1,11586375,11502588,Down
Apartment,14,Residence,Documented,123244,5,4,1,7,1,1,2,0,1,1,7266174,7124767,Down
Building,4,Residence,Registrable,730551,4,3,0,5,1,0,6,0,1,0,37202747,37128765,Down
Empty Land,0,Residence,Documented,502446,3,1,1,2,0,1,5,1,1,1,25665200,25614151,Down
House,1,Residence,Documented,43501,3,7,1,5,0,0,2,1,1,0,2911981,2848600,Down
Building,11,Non-Residence,Registrable,592152,12,2,1,1,1,0,10,1,1,0,30821434,30703558,Down
House,2,Non-Residence,Registrable,239006,5,4,1,6,0,0,4,0,1,0,12729868,12631478,Down
Farm House,0,Residence,Documented,431289,10,9,1,9,1,1,7,0,1,1,22904453,22842392,Down
House,2,Residence,Registrable,656666,1,6,1,6,0,1,1,0,1,0,33565855,33444614,Down
Farm House,0,Non-Residence,Documented,712498,5,8,1,3,0,1,9,0,0,0,36624923,36524627,Down
House,2,Residence,Documented,653089,6,2,0,7,1,1,10,1,1,0,33573148,33499134,Down
Flat,16,Residence,Registrable,500222,7,7,0,3,1,1,1,0,0,1,26026781,25912246,Down
Building,19,Residence,Documented,685617,12,6,1,6,1,1,5,0,0,1,35788119,35639110,Down
Flat,16,Non-Residence,Documented,559424,9,9,1,3,1,1,7,1,0,1,29331694,29216503,Down
Empty Land,0,Residence,Documented,735957,3,7,0,4,1,0,8,0,0,1,37620102,37518526,Down
Empty Land,0,Residence,Documented,179852,2,1,0,6,0,1,2,1,1,0,9484760,9406613,Down
Villa,0,Non-Residence,Registrable,193783,14,8,1,9,0,0,4,0,0,1,11100390,10982370,Down
Villa,0,Residence,Registrable,450695,3,3,0,2,1,0,2,1,0,0,23120674,23014526,Down
Villa,0,Residence,Documented,431913,12,2,0,9,1,1,4,1,1,1,22677461,22625716,Down
Apartment,27,Non-Residence,Documented,304488,9,3,1,4,0,1,6,1,0,0,16465046,16392898,Down
Empty Land,0,Non-Residence,Documented,327398,12,6,1,2,0,0,6,0,1,1,17402317,17336101,Down
House,3,Residence,Documented,302686,7,3,1,4,1,0,2,1,1,1,16102930,15954847,Down
Farm House,0,Non-Residence,Documented,62165,9,5,0,2,1,1,4,0,1,1,4041266,3949337,Down
Apartment,11,Residence,Registrable,247084,13,6,1,9,0,0,4,0,1,1,13746940,13634303,Down
House,2,Residence,Registrable,117453,2,8,1,6,1,0,1,0,0,0,6743783,6633792,Down
Building,16,Non-Residence,Registrable,476572,5,7,0,0,0,0,2,0,1,1,24588276,24516264,Down
Empty Land,0,Residence,Documented,683236,13,8,1,8,0,0,3,0,0,1,35477969,35361656,Down
Farm House,0,Non-Residence,Documented,187126,4,3,0,8,1,1,5,0,0,1,10114449,10054924,Down
Farm House,0,Non-Residence,Documented,145771,2,4,0,4,0,1,8,1,1,0,7923354,7830006,Down
